Number ID,Code,ID,Sample,Population,Recovery temp,8OHdG/10^dG,Comment,Mass
4,A1C2-B,A1C2,B,SH,Cold,79.09525133,,
10,A1C3-B,A1C3,B,SH,Warmup,83.17118196,,
30,A1C5-B,A1C5,B,SH,Cold,57.40039867,,
1,A1D1-B,A1D1,B,SH,Warmup,63.97390189,,
7,A1D2-B,A1D2,B,SH,Cold,110.5245673,,
19,A1D3-B,A1D3,B,SH,Cold,60.78394866,,
15,A1D5-B,A1D5,B,SH,Cold,66.77632041,,
17,A2A5-B,A2A5,B,SH,Warmup,105.7860735,,
23,A2B1-B,A2B1,B,SH,Warmup,120.3692849,,
3,A2B5-B,A2B5,B,SH,,85.9668107,X,
9,A2C1-B,A2C1,B,SH,,111.34045,X,
13,A2C2-B,A2C2,B,SH,Warmup,68.05880178,,
29,A2C3-B,A2C3,B,SH,Warmup,172.9106163,,
24,A2C5-B,A2C5,B,SH,Warmup,106.2973228,,
18,A2D1-B,A2D1,B,SH,Cold,71.63702517,,
11,C1C2-B,C1C2,B,NAC,Cold,76.71469304,,
6,C1C3-B,C1C3,B,NAC,Warmup,223.1140548,,
31,C1D1-B,C1D1,B,NAC,,45.29392241,X,
22,C1D2-B,C1D2,B,NAC,Warmup,58.36871576,,
25,C1D3-B,C1D3,B,NAC,Cold,64.38636271,,
14,C1D5-B,C1D5,B,NAC,Warmup,66.03139933,,
2,C2C5-B,C2C5,B,NAC,Cold,112.9877594,,
8,C2D1-B,C2D1,B,NAC,Cold,83.6692236,,
28,C2D2-B,C2D2,B,NAC,Cold,97.7004703,,
20,C2D3-B,C2D3,B,NAC,Cold,157.9005951,,
5,C3C5-B,C3C5,B,NAC,Warmup,220.3026651,,
21,C3D1-B,C3D1,B,NAC,Warmup,109.2285732,,
26,C3D2-B,C3D2,B,NAC,,93.72759016,X,
27,C3D5-B,C3D5,B,NAC,Warmup,61.14705732,,
12,D1D2-B,D1D2,B,NAC,Cold,66.02198715,,
16,D1D4-B,D1D4,B,NAC,Warmup,72.84761492,,
66,A1A2C1-R,A1A2C1,R,NAC,Warmup,162.5712639,,
70,A1C2-R,A1C2,R,SH,Cold,109.7316095,,
67,A1C3-R,A1C3,R,SH,Warmup,102.9308725,,
81,A1C5-R,A1C5,R,SH,Cold,97.52324428,,
60,A1D1-R,A1D1,R,SH,Warmup,131.0683058,,
76,A1D2-R,A1D2,R,SH,Cold,101.2696121,,
59,A1D3-R,A1D3,R,SH,Cold,77.41356084,,
63,A1D5-R,A1D5,R,SH,Cold,86.52824998,,
